date,code,value
20160830,000510,3800.26
20160831,000510,3809.96
20160901,000510,3785.67
20160902,000510,3791.82
20160905,000510,3802.36
20160906,000510,3837.63
20160907,000510,3838.40
20160908,000510,3841.87
20160909,000510,3816.51
20160912,000510,3743.67
20160913,000510,3745.07
20160914,000510,3720.09
20160919,000510,3751.68
20160920,000510,3744.42
20160921,000510,3752.38
20160922,000510,3779.54
20160923,000510,3766.71
20160926,000510,3699.42
20160927,000510,3721.50
20160928,000510,3712.19
20160929,000510,3724.76
20160930,000510,3736.26
20161010,000510,3796.48
20161011,000510,3814.23
20161012,000510,3808.54
20161013,000510,3809.35
20161014,000510,3809.08
20161017,000510,3776.52
20161018,000510,3824.30
20161019,000510,3817.95
20161020,000510,3820.58
20161021,000510,3824.58
20161024,000510,3864.08
20161025,000510,3868.64
20161026,000510,3851.74
20161027,000510,3839.09
20161028,000510,3823.34
20161031,000510,3816.12
20161101,000510,3844.12
20161102,000510,3811.75
20161103,000510,3840.27
20161104,000510,3826.86
20161107,000510,3828.17
20161108,000510,3847.00
20161109,000510,3826.30
20161110,000510,3868.23
20161111,000510,3888.52
20161114,000510,3903.61
20161115,000510,3910.54
20161116,000510,3911.18
20161117,000510,3915.79
20161118,000510,3898.12
20161121,000510,3918.70
20161122,000510,3947.14
20161123,000510,3947.67
20161124,000510,3953.74
20161125,000510,3985.15
20161128,000510,4005.39
20161129,000510,4031.33
20161130,000510,4006.84
20161201,000510,4028.57
20161202,000510,3984.82
20161205,000510,3935.15
20161206,000510,3928.56
20161207,000510,3950.88
20161208,000510,3943.21
20161209,000510,3959.09
20161212,000510,3848.87
20161213,000510,3848.08
20161214,000510,3819.23
20161215,000510,3789.14
20161216,000510,3800.06
20161219,000510,3783.29
20161220,000510,3762.64
20161221,000510,3796.47
20161222,000510,3794.59
20161223,000510,3764.91
20161226,000510,3779.99
20161227,000510,3773.76
20161228,000510,3757.96
20161229,000510,3753.87
20161230,000510,3764.99
20170103,000510,3799.11
20170104,000510,3833.75
20170105,000510,3835.85
20170106,000510,3815.60
20170109,000510,3837.49
20170110,000510,3829.23
20170111,000510,3803.52
