日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20150115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3501.72,3604.12,3482.27,3604.12,101.70,2.90,23781.23,3034.45,300
20150116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3616.25,3662.16,3601.26,3635.15,31.03,0.86,28268.16,3555.69,300
20150119,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3414.01,3497.25,3330.98,3355.16,-279.99,-7.70,32950.53,3660.18,300
20150120,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3336.79,3419.20,3325.68,3396.22,41.07,1.22,29784.32,3819.18,300
20150121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3420.49,3557.79,3409.43,3548.89,152.66,4.50,33792.82,4254.34,300
20150122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3551.05,3576.76,3520.05,3567.61,18.73,0.53,26885.36,3450.26,300
20150123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3582.09,3627.81,3548.63,3571.73,4.12,0.12,28017.22,3618.36,300
20150126,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3580.12,3611.62,3559.38,3607.99,36.25,1.01,23976.62,3095.86,300
20150127,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3614.04,3616.26,3510.02,3574.93,-33.05,-0.92,28766.92,3575.48,300
20150128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3547.24,3583.31,3512.39,3525.32,-49.61,-1.39,21622.02,2787.49,300
20150129,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3474.92,3505.58,3453.90,3481.80,-43.53,-1.23,21161.89,2518.98,300
20150130,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3496.89,3514.22,3431.94,3434.39,-47.41,-1.36,19647.92,2374.21,300
20150202,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3360.19,3407.26,3347.09,3353.96,-80.43,-2.34,19518.37,2248.38,300
20150203,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3388.60,3441.71,3360.72,3437.45,83.49,2.49,19284.61,2411.00,300
20150204,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3446.14,3476.82,3399.57,3401.77,-35.68,-1.04,19130.43,2440.34,300
20150205,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3487.95,3487.95,3366.86,3366.95,-34.82,-1.02,25043.06,3115.24,300
20150206,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3352.33,3374.05,3285.94,3312.42,-54.53,-1.62,19266.42,2214.33,300
20150209,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3305.73,3376.53,3298.60,3345.92,33.50,1.01,17235.38,2207.67,300
20150210,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3345.08,3407.18,3339.55,3406.94,61.02,1.82,15930.91,1991.21,300
20150211,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3415.98,3445.66,3412.14,3434.12,27.18,0.80,14461.38,1859.79,300
20150212,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3435.36,3453.58,3405.63,3442.87,8.75,0.25,15608.17,1912.86,300
20150213,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3458.83,3509.51,3452.08,3469.83,26.95,0.78,20109.00,2470.76,300
20150216,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3473.29,3504.48,3466.61,3499.48,29.66,0.85,16564.13,2228.00,300
20150217,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3511.54,3536.82,3511.09,3522.32,22.84,0.65,16532.83,2144.57,300
20150225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3529.55,3529.55,3463.96,3478.73,-43.59,-1.24,16553.94,2117.39,300
20150226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3473.71,3569.33,3456.87,3566.30,87.57,2.52,22932.84,2798.09,300
20150227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3565.23,3594.81,3560.46,3572.84,6.55,0.18,22278.64,2718.62,300
20150302,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3603.45,3608.69,3566.53,3601.27,28.42,0.80,24817.61,3251.65,300
20150303,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3579.32,3579.32,3504.20,3507.90,-93.37,-2.59,26186.65,3357.00,300
20150304,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3514.67,3540.91,3497.17,3530.82,22.92,0.65,19966.40,2574.69,300
20150305,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3513.25,3517.08,3467.68,3496.34,-34.48,-0.98,21750.88,2790.31,300
20150306,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3501.18,3516.24,3472.39,3478.52,-17.82,-0.51,18151.81,2334.68,300
20150309,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3449.70,3546.71,3417.49,3537.75,59.23,1.70,23394.04,2778.60,300
20150310,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3523.64,3551.21,3511.99,3520.61,-17.14,-0.48,19426.77,2453.67,300
20150311,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3524.58,3568.92,3512.22,3524.65,4.04,0.11,18894.78,2357.73,300
20150312,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3557.69,3603.34,3536.53,3592.84,68.19,1.93,26566.46,3221.41,300
20150313,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3604.67,3641.39,3594.74,3617.66,24.81,0.69,24686.48,2972.99,300
20150316,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3641.77,3705.74,3621.12,3705.67,88.01,2.43,27543.83,3584.98,300
