日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20150317,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3733.96,3762.58,3716.81,3757.12,51.45,1.39,37162.57,4550.04,300
20150318,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3769.09,3846.06,3763.85,3846.06,88.93,2.37,41519.00,4844.66,300
20150319,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3851.25,3859.13,3809.71,3839.74,-6.32,-0.16,39154.76,4632.13,300
20150320,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3852.49,3916.86,3832.42,3892.57,52.84,1.38,40181.76,5444.68,300
20150323,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3923.08,3972.30,3922.21,3972.06,79.49,2.04,39111.99,5197.60,300
20150324,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3980.07,3989.86,3883.78,3973.05,0.99,0.02,46858.13,5910.67,300
20150325,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3961.58,3980.72,3913.99,3940.41,-32.63,-0.82,37996.89,5017.34,300
20150326,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3921.75,3992.00,3892.88,3950.00,9.59,0.24,34675.63,4685.38,300
20150327,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3957.54,3993.03,3932.87,3971.70,21.70,0.55,29875.61,3931.32,300
20150330,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3999.02,4101.65,3999.02,4088.18,116.48,2.93,42829.70,5462.11,300
20150331,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4138.89,4166.02,4037.77,4051.20,-36.97,-0.90,43606.56,5981.22,300
20150401,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4057.50,4139.50,4046.94,4123.90,72.69,1.79,32951.29,4665.97,300
20150402,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4149.95,4156.84,4068.65,4124.78,0.88,0.02,33907.05,4766.18,300
20150403,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4104.67,4170.56,4092.38,4170.54,45.76,1.11,32130.38,4669.66,300
20150407,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4213.89,4260.47,4197.02,4260.04,89.51,2.15,41536.27,5646.46,300
20150408,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4277.45,4304.78,4204.83,4295.80,35.76,0.84,45867.67,6583.08,300
20150409,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4316.96,4332.17,4212.61,4262.14,-33.67,-0.78,43969.99,6504.19,300
20150410,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4249.38,4351.69,4231.20,4344.42,82.28,1.93,34819.02,5093.54,300
20150413,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4394.05,4432.02,4361.59,4421.07,76.66,1.76,43415.30,5985.18,300
20150414,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4432.13,4474.35,4385.91,4438.18,17.11,0.39,43443.21,6021.27,300
20150415,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4439.31,4476.00,4379.61,4380.51,-57.67,-1.30,47215.41,5968.23,300
20150416,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4355.49,4513.77,4335.63,4513.55,133.03,3.04,42260.37,5647.23,300
20150417,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4578.68,4630.27,4553.90,4596.14,82.59,1.83,55280.27,7339.54,300
20150420,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4615.03,4671.17,4492.60,4521.92,-74.22,-1.61,68643.91,9392.65,300
20150421,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4520.46,4620.06,4504.56,4619.16,97.25,2.15,49031.50,6853.65,300
20150422,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4637.06,4740.93,4632.59,4739.81,120.65,2.61,51621.38,7699.25,300
20150423,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4764.48,4782.04,4693.97,4740.89,1.08,0.02,49743.10,7522.58,300
20150424,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4682.63,4730.43,4618.32,4702.64,-38.25,-0.81,48015.29,7212.73,300
20150427,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4753.87,4810.49,4735.31,4807.59,104.95,2.23,51307.65,7659.10,300
20150428,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4811.32,4839.08,4703.57,4741.86,-65.73,-1.37,60863.85,8603.50,300
20150429,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4722.90,4797.93,4695.79,4774.33,32.47,0.68,39505.70,6016.76,300
20150430,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4788.41,4818.73,4749.49,4749.89,-24.44,-0.51,39972.74,6125.11,300
20150504,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4757.64,4795.92,4699.40,4787.74,37.86,0.80,37784.39,5654.53,300
20150505,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4785.19,4785.19,4572.98,4596.84,-190.90,-3.99,46041.96,6600.20,300
20150506,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4626.23,4700.91,4511.76,4553.33,-43.51,-0.95,37607.37,5860.34,300
20150507,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4520.82,4546.34,4467.46,4470.09,-83.24,-1.83,29775.92,4271.90,300
20150508,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4515.55,4559.06,4445.59,4558.40,88.32,1.98,30240.80,4520.91,300
20150511,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4582.09,4690.95,4535.15,4690.53,132.13,2.90,37383.84,5832.60,300
20150512,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4692.12,4748.00,4660.02,4747.42,56.89,1.21,37705.39,6071.23,300
